"Run","UnitMs","Index","Symbol","NativeOffsetMs","DurationMs","CorrelationId","Sequence"
"baseline-1337","30","5","-","102.431","90","console-replay:mgmlj0v8x8bd357o","10"
"baseline-1337","30","12",".","117.172","90","console-replay:mgmlj1q3jnm01uyy","22"
"baseline-1337","30","15","-","88.016","30","console-replay:mgmlj22t9a5gyjzg","27"
"baseline-1337","30","22","-","83.668","30","console-replay:mgmk6x159qb9vycw","27"
"baseline-1337","34","12",".","91.577","102","console-replay:mgmk6qeejgijrd1y","16"
"baseline-1337","34","14",".","104.243","102","console-replay:mgmliu4s2uqaju0l","23"
"baseline-1337","34","15","-","124.78","102","console-replay:mgmliu979ed9o72w","24"
"baseline-1337","34","22","-","99.505","34","console-replay:mgmk6rb67k1l1l8a","27"
"baseline-1337","40","2",".","108.839","120","console-replay:mgmlilds0zrwvisd","4"
"baseline-1337","40","3","-","111.748","120","console-replay:mgmlilid0upo9dcz","5"
"baseline-1337","40","4","-","122.084","120","console-replay:mgmliln5wcf8i421","6"
"baseline-1337","40","11","-","128.658","120","console-replay:mgmlimiu1n9i6uuo","16"
"baseline-1337","40","12",".","138.498","120","console-replay:mgmlimnl5tvtjb7m","17"
"baseline-1337","40","13",".","154.843","120","console-replay:mgmlimsikp5wjws8","18"
"baseline-1337","48","11","-","90.544","48","console-replay:mgmliftxfqfwx3sd","14"
"baseline-1337","48","15","-","80.227","144","console-replay:mgmk6g1imva1bfpe","16"
"baseline-1337","48","21","-","87.899","48","console-replay:mgmlih6avng9oyu6","26"
"baseline-1337","48","22","-","167.377","48","console-replay:mgmlihb7vu4synt2","27"
"baseline-1337","60","2",".","104.176","60","console-replay:mgmli7scvskel6rc","3"
"baseline-1337","60","3","-","127.299","180","console-replay:mgmli7wcfq1ellgp","4"
"baseline-1337","60","16","-","84.782","60","console-replay:mgmlia79ssiwx2j5","20"
"baseline-1337","60","17","-","105.224","60","console-replay:mgmliab82ztshmfz","21"
"baseline-1337","60","18",".","143.315","180","console-replay:mgmliafn02iilkv1","22"
"baseline-1337","60","23","-","106.929","60","console-replay:mgmlib5js1bcnsxf","27"
"followup-1441","30","7",".","104.58","90","console-replay:mgmmhyiwnywh0gb5","10"
"followup-1441","30","8",".","89.676","90","console-replay:mgmmhylv7saycg2r","11"
"followup-1441","30","8",".","82.068","90","console-replay:mgmmo2rvjw8th877","11"
"followup-1441","30","12",".","89.46","90","console-replay:mgmmhyxoubxwflly","16"
"followup-1441","30","22","-","94.022","30","console-replay:mgmmhzqjh7t5hl33","27"
"followup-1441","30","22","-","89.75","30","console-replay:mgmmo3wrz2iggn6a","27"
"followup-1441","34","22","-","94.873","34","console-replay:mgmmhv49ik4ox2b7","27"
"followup-1441","40","3","-","94.845","120","console-replay:mgmn3zqz4gs4pnos","4"
"followup-1441","40","9","-","96.528","120","console-replay:mgmmhovbve2nh290","10"
"followup-1441","40","9","-","82.981","120","console-replay:mgmn7irdg135a06s","10"
"followup-1441","40","9","-","93.575","120","console-replay:mgmn40b414riz3d0","10"
"followup-1441","40","10","-","121.8","120","console-replay:mgmmhp0inlgoh3am","11"
"followup-1441","40","15","-","80.799","120","console-replay:mgmn7jbk2db1lyx3","16"
"followup-1441","40","21","-","80.137","120","console-replay:mgmn7jvslk4jg6h4","22"
"followup-1441","40","21","-","87.918","120","console-replay:mgmmhpzjqszu3oy5","22"
"followup-1441","40","26",".","85.199","40","console-replay:mgmn7kdvp4nqbhi0","27"
"followup-1446","30","8",".","82.068","90","console-replay:mgmmo2rvjw8th877","11"
